gene,cell_type,cell_subtype,essential
TP63,Basal,NA,TRUE
ITGA6,Basal,NA,TRUE
KRT5,Basal,NA,FALSE
KRT17,Basal,NA,FALSE
Ly6D,Basal,NA,FALSE
CYP2F1,Secretory,NA,TRUE
KRT4,Secretory,NA,FALSE
KRT7,Secretory,NA,FALSE
KRT8,Secretory,NA,FALSE
VMO1,Secretory,NA,FALSE
SPRR3,Secretory,NA,FALSE
SCGB1a1,Secretory,Clara,TRUE
SCGB3a1,Secretory,Clara,TRUE
FUT4,Secretory,Immature Clara,TRUE
LYZ,Secretory,Serous/mucus,TRUE
Muc5Ac,Secretory,Goblet,TRUE
AGR2,Secretory,Goblet,TRUE
BPIFA1,Secretory,Goblet,TRUE
BPIFB1,Secretory,Goblet,FALSE
TFF3,Secretory,Goblet,FALSE
Foxj1,Ciliated,Mature,TRUE
TPPP3,Ciliated,Mature,TRUE
STOML3,Ciliated,Mature,TRUE
ERICH3,Ciliated,Mature,TRUE
DEUP1,Ciliated,Mature,FALSE
LRRC23,Ciliated,Mature,FALSE
PIFO,Ciliated,Mature,FALSE
IFT57,Ciliated,Mature,FALSE
TOP2A,Ciliated,Mature,FALSE
KRT80,Ciliated,Mature,FALSE
CEP41,Ciliated,Mature,FALSE
DNAH5,Ciliated,Mature,FALSE
PLK4,Ciliated,Immature,FALSE
MYB,Ciliated,Immature,FALSE
CDC20B,Ciliated,Immature,FALSE
TFF3,Ciliated,Immature,FALSE
